time,AdrActCnt,AdrBal1in100KCnt,AdrBal1in100MCnt,AdrBal1in10BCnt,AdrBal1in10KCnt,AdrBal1in10MCnt,AdrBal1in1BCnt,AdrBal1in1KCnt,AdrBal1in1MCnt,AdrBalCnt,AdrBalNtv0.001Cnt,AdrBalNtv0.01Cnt,AdrBalNtv0.1Cnt,AdrBalNtv100Cnt,AdrBalNtv100KCnt,AdrBalNtv10Cnt,AdrBalNtv10KCnt,AdrBalNtv1Cnt,AdrBalNtv1KCnt,AdrBalNtv1MCnt,AdrBalUSD100Cnt,AdrBalUSD100KCnt,AdrBalUSD10Cnt,AdrBalUSD10KCnt,AdrBalUSD10MCnt,AdrBalUSD1Cnt,AdrBalUSD1KCnt,AdrBalUSD1MCnt,AssetEODCompletionTime,BlkCnt,BlkSizeMeanByte,CapAct1yrUSD,CapMVRVCur,CapMVRVFF,CapMrktCurUSD,CapMrktEstUSD,CapMrktFFUSD,CapRealUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContPctDay,IssContUSD,IssTotNtv,IssTotUSD,NDF,NVTAdj,NVTAdj90,NVTAdjFF,NVTAdjFF90,PriceBTC,PriceUSD,ROI1yr,ROI30d,ReferenceRate,ReferenceRateBTC,ReferenceRateETH,ReferenceRateEUR,ReferenceRateUSD,SER,SplyAct10yr,SplyAct180d,SplyAct1d,SplyAct1yr,SplyAct2yr,SplyAct30d,SplyAct3yr,SplyAct4yr,SplyAct5yr,SplyAct7d,SplyAct90d,SplyActEver,SplyActPct1yr,SplyAdrBal1in100K,SplyAdrBal1in100M,SplyAdrBal1in10B,SplyAdrBal1in10K,SplyAdrBal1in10M,SplyAdrBal1in1B,SplyAdrBal1in1K,SplyAdrBal1in1M,SplyAdrBalNtv0.001,SplyAdrBalNtv0.01,SplyAdrBalNtv0.1,SplyAdrBalNtv1,SplyAdrBalNtv10,SplyAdrBalNtv100,SplyAdrBalNtv100K,SplyAdrBalNtv10K,SplyAdrBalNtv1K,SplyAdrBalNtv1M,SplyAdrBalUSD1,SplyAdrBalUSD10,SplyAdrBalUSD100,SplyAdrBalUSD100K,SplyAdrBalUSD10K,SplyAdrBalUSD10M,SplyAdrBalUSD1K,SplyAdrBalUSD1M,SplyAdrTop100,SplyAdrTop10Pct,SplyAdrTop1Pct,SplyCur,SplyFF,TxCnt,TxCntSec,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,VelCur1yr,VtyDayRet180d,VtyDayRet30d,principal_market_price_usd,principal_market_usd
2017-09-23,0,14404,14405,14405,1811,14405,14405,68,14405,14505,14505,14505,14505,14405,14405,14405,14405,14505,14405,4756,,,,,,,,,1613887838,406,667.625615763547,,,,,,,,,,,,0,,0,0,0,,0,,0.682028762791,,,,,,,,,,,,,,0.000000008839,0,0,0,0,0,0,0,0,0,0,0,0,0,31112186171,31112484645,31112484645,21219609478,31112484645,31112484645,9587904351,31112484645,31112484745,31112484745,31112484745,31112484745,31112484645,31112484645,31112484645,31112484645,31112484645,26222170632,,,,,,,,,10403117167,19944445046,11313066533,31112484745,25145689143,0,0,0,0,,,,,,0,,,,
2017-09-24,8,14404,14405,14405,1811,14405,14405,68,14405,14507,14507,14506,14505,14405,14405,14405,14405,14504,14405,4756,,,,,,,,,1613887853,4320,665.894212962963,,,,,,,,0.1398796,,0.170894,,0.699398,,0,0,0,,0,,0.682028762807,39948543226.368044231357,,32287156037.642623270768,,,,,,,,,,,0.000000008778,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.300602,0.000000001,31112186171,31112484645,31112484645,21219609478,31112484645,31112484645,9587904351,31112484645,31112484744.300602,31112484744.299363,31112484744.23,31112484744,31112484645,31112484645,31112484645,31112484645,31112484645,26222170632,,,,,,,,,10403117167,19944445046,11313066533,31112484744.300602,25145689142.300602,5,0.00005787037,9,0.778814,,0.31199111,,0.558212,,0.00000000009,,,,
2017-09-25,16,14404,14405,14405,1811,14405,14405,68,14405,14509,14509,14508,14507,14405,14405,14405,14405,14502,14405,4756,,,,,,,,,1613887868,4320,634.853009259259,,,,,,,,0.06507962,,0,,0.520637,,0,0,0,,0,,0.682028762818,5356400239.681052786888,,4329142350.898311586065,,,,,,,,,,,0.000000008731,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,4.779965,0.0000000154,31112186171,31112484645,31112484645,21219609478,31112484645,31112484645,9587904351,31112484645,31112484743.779965,31112484743.778726,31112484743.709363,31112484742,31112484645,31112484645,31112484645,31112484645,31112484645,26222170632,,,,,,,,,10403117167,19944445046,11313066533,31112484743.779965,25145689141.779965,8,0.000092592593,11,5.808469,,0.64887045,,1,,0.00000000032,,,,
2017-09-26,4,14404,14405,14405,1811,14405,14405,68,14405,14509,14508,14507,14506,14405,14405,14405,14405,14502,14405,4756,,,,,,,,,1613887883,4320,662.833796296296,,,,,,,,0.178761,,0.178761,,0.178761,,0,0,0,,0,,0.682028762822,28268606402.315463718947,,22847213744.479115974712,,,,,,,,,,,0.000000008716,4.601204,4.601204,4.300602,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,4.601204,0.0000000148,31112186171,31112484645,31112484645,21219609478,31112484645,31112484645,9587904351,31112484645,31112484743.600602,31112484743.599363,31112484743.53,31112484742.1,31112484645,31112484645,31112484645,31112484645,31112484645,26222170632,,,,,,,,,10403117167,19944445046,11313066533,31112484743.601204,25145689141.601204,1,0.000011574074,2,1.100602,,0.550301,,1.100602,,0.000000000355,,,,
2017-09-27,12,14404,14406,14406,1811,14405,14406,68,14405,14511,14510,14509,14507,14406,14405,14406,14405,14502,14406,4756,,,,,,,,,1613887900,4320,634.709259259259,,,,,,,,0.1139295,,0.1708065,,0.683577,,0,0,0,,0,,0.68202873069,12.631578975517,,10.209077594915,,,,,,,,,,,0.000000097064,2463071705.917627,2463071705.917627,2463071702.647025,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,2463071705.917627,7.9166666574,31112185170.82893,31112484644.82893,31112484644.82893,21219608477.82893,31112483644.82893,31112484644.82893,9587903350.82893,31112483644.82893,31112484742.917025,31112484742.915786,31112484742.787142,31112484740.82893,31112484644.82893,31112484644.82893,31112483644.82893,31112483644.82893,31112484644.82893,26222169631.82893,,,,,,,,,10403116166.82893,19948288125.82893,11313065532.82893,31112484742.917627,25145690141.088697,6,0.000069444444,9,2463071703.325529,,547349267.147281,,0.964553,,0.158333333261,,,,
2017-09-28,65,14404,14406,14411,1811,14405,14407,68,14405,14517,14515,14514,14512,14406,14405,14409,14405,14506,14405,4756,,,,,,,,,1613887916,4306,670.777287505806,,,,,,,,0.06238814,,0,,2.245973,,0,0,0,,0,,0.682028730717,6.453481188739,,5.215823796971,,,,,,,,,,,0.000000096926,5987753239.671654,5987753239.671654,5987753237.40045,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,5987753239.671654,19.2454999643,31112185170.144734,31112484578.253203,31112484643.053804,21219608477.144734,31112483644.144734,31112484612.432653,9587903350.144734,31112483644.144734,31112484740.671005,31112484740.669766,31112484740.541122,31112484738.053804,31112484633.453804,31112484578.253203,31112483644.144734,31112483644.144734,31112483644.144734,26222169631.144734,,,,,,,,,10403116166.144734,19948288125.144734,11313065532.144734,31112484740.671654,25145690139.52692,36,0.000416666667,48,4821039037.807937,,113938314.34929292,,749991.5,,0.334116114183,,,,
2017-09-29,4747,14384,14533,14600,1810,14507,14562,68,14482,14810,14798,14788,14780,14551,14451,14588,14496,14732,14522,4765,,,,,,,,,1613887932,4320,823.352314814815,,,,,,,,0.03926251,,0,,97.645858,,0,0,0,,0,,0.681009094221,5.760642975315,,4.655859034122,,,,,,,,,,,0.000002877618,9990992137.025796,9990992137.025796,7527921433.108169,9990992137.025796,9990992137.025796,9990992137.025796,9990992137.025796,9990992137.025796,9990992137.025796,9990992137.025796,9990992137.025796,9990992137.025796,32.1124855557,31097018518.158826,31112481572.713869,31112484464.60126,21187884985.696536,31112452154.525314,31112484124.380109,9496017093.419904,31112180358.867594,31112484643.024213,31112484642.968106,31112484642.61385,31112484614.330001,31112484399.40126,31112483572.713869,31110167140.23813,31112388626.696348,31112473826.154244,26218574500.957793,,,,,,,,,10323575526.767092,20034175292.921502,11290066332.253706,31112484643.025796,25145690041.881062,2487,0.028784722222,3035,5400870141.813676,,2345286.61214637,,825277,,0.562897099764,,,,
2017-09-30,4976,14298,14657,14800,1810,14604,14716,69,14529,15113,15088,15073,15060,14702,14455,14766,14577,14976,14636,4774,,,,,,,,,1613887947,4319,807.874739523038,,,,,,,,0.05781594,,0,,146.158702,,0,0,0,,0,,0.6809935876,5.32121637382,,4.300706258852,,,,,,,,,,,0.000005478512,14004021378.867094,14004021378.867094,8020115199.503909,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,14004021378.867094,45.0109388734,31075634039.292858,31112477463.602837,31112484238.621479,21187402436.656507,31112422434.786739,31112483438.234526,9513849090.512339,31111415727.548102,31112484496.863794,31112484496.766724,31112484496.181658,31112484445.223961,31112484034.855677,31112482691.089275,31106968315.55892,31112248575.728788,31112464698.660998,26244467361.272687,,,,,,,,,10307342017.959005,20148056872.367916,11328273936.445619,31112484496.867094,25145689895.72236,2528,0.029259259259,3351,5846874532.285358,,2720713.2797026,,791085,,0.855934137146,,,,
2017-10-01,5973,14236,15023,15219,1783,14936,15109,70,14789,15681,15634,15608,15579,15076,14614,15168,14891,15396,14987,4773,,,,,,,,,1613887962,4316,896.463392029657,,,,,,,,0.09404741,,0.17107,,291.170785,,0,0,0,,0,,0.679336954621,4.548631577015,,3.676288817212,,,,,,,,,,,0.000009462876,16950977122.696309,16950977122.696309,7978207303.035146,16950977122.696309,16950977122.696309,16950977122.696309,16950977122.696309,16950977122.696309,16950977122.696309,16950977122.696309,16950977122.696309,16950977122.696309,54.4828789968,31025233201.893514,31112474185.820091,31112483881.29988,21135860270.991489,31112375057.661566,31112482803.733804,9645516199.918,31110248576.088878,31112484205.690993,31112484205.525343,31112484204.306228,31112484088.1326,31112483564.185138,31112480553.968749,31099408157.490548,31112101275.511881,31112451234.350558,26215416438.969933,,,,,,,,,10419102684.110881,20407543345.812743,11534340898.913215,31112484205.696309,25145689604.551575,3096,0.035833333333,4757,6839965752.098607,,4228024.03408753,,833347,,1.502385588801,,,,
2017-10-02,5858,14233,15579,15876,1769,15399,15719,70,15114,16528,16438,16396,16346,15677,14849,15797,15306,16078,15504,4781,,,,,,,,,1613887978,4314,859.159944367177,,,,,,,,0.10739878,,0.17107,,316.074603,,0,0,0,,0,,0.676946808349,3.563601925636,,2.880169487199,,,,,,,,,,,0.00001955486,19348712430.621706,19348712430.621706,7211827652.34619,19348712430.621706,19348712430.621706,19348712430.621706,19348712430.621706,19348712430.621706,19348712430.621706,19348712430.551104,19348712430.621706,19348712430.621706,62.1895458404,30970776516.676741,31112466355.913611,31112483462.913219,21061496668.880478,31112253803.99409,31112481923.349545,9719137879.267168,31108323501.456453,31112483889.610945,31112483889.315025,31112483887.044591,31112483714.814879,31112482944.637028,31112478962.050205,31092380846.173592,31111676716.659332,31112419116.729168,26167703266.456389,,,,,,,,,10490486208.460049,20680990475.884112,11766160756.595283,31112483889.621706,25145689288.476972,2943,0.0340625,4735,8730628319.007109,,8798568.94591527,,983735,,2.841437288485,,,,
2017-10-03,3701,14204,15861,16195,1774,15636,16006,70,15286,16983,16869,16816,16749,15954,14940,16098,15501,16420,15767,4813,,,,,,,,,1613887995,4320,803.070138888889,,,,,,,,0.10081913,,0.17107,,182.280983,,0,0,0,,0,,0.67518475062,4.448565108246,,3.595413218464,,,,,,,,,,,0.000024852801,20981546209.340723,20981546209.340723,5895201280.126635,20981546209.340723,20981546209.340723,20981546209.340723,20981546209.340723,20981546209.340723,20981546209.340723,20981546208.070121,20981546209.340723,20981546209.340723,67.4377089489,30941395680.554815,31112465394.471535,31112483203.662599,21006674553.118127,31112191253.129884,31112481313.708971,9628373062.915306,31107562459.907825,31112483707.325386,31112483706.931928,31112483703.976733,31112483491.562205,31112482550.515412,31112477443.339565,31087288912.684759,31111353652.233707,31112400430.131191,26162982578.650662,,,,,,,,,10411860909.388777,20762904233.884655,11767454768.268045,31112483707.340723,25145689106.195989,1808,0.020925925926,2826,6993824514.261467,,8306338.37602407,,817787.1536625,,3.595916197639,,,,
2017-10-04,1769,14178,15978,16333,1769,15729,16135,71,15325,17138,17023,16969,16898,16072,14958,16226,15571,16562,15878,4811,,,,,,,,,1613888013,4319,724.896040750174,,,,,,,,0.06978899,,0,,59.948744,,0,0,0,,0,,0.674974795701,9.929309416306,,8.025052896969,,,,,,,,,,,0.00002833193,21803336238.391979,21803336238.391979,3784853812.625126,21803336238.391979,21803336238.391979,21803336238.391979,21803336238.391979,21803336238.391979,21803336238.391979,21803336237.620775,21803336238.391979,21803336238.391979,70.0790605003,30931178699.815175,31112464307.076155,31112483135.726985,21000142293.645145,31112149124.875726,31112481199.291042,9649739267.889343,31106868376.413723,31112483647.376319,31112483646.97429,31112483643.786979,31112483427.026591,31112482409.61382,31112476482.434407,31085335313.798485,31111186651.766513,31112394135.241831,26163206510.233717,,,,,,,,,10409135647.324571,20821621766.898463,11807261672.052244,31112483647.391979,25145689046.247245,859,0.00994212963,1194,3133398541.926714,,8344874.6490089,,770521.657508,,3.916166443791,,,,
2017-10-05,2454,14173,16254,16657,1774,15963,16434,72,15478,17531,17402,17337,17260,16358,15054,16540,15764,16890,16131,4805,,,,,,,,,1613888029,4320,730.959027777778,,,,,,,,0.13143775,,0.17107,,156.805239,,0,0,0,,0,,0.674848094937,5.021386950102,,4.058377586737,,,,,,,,,,,0.000033481335,22299418294.58674,22299418294.58674,2831736244.359413,22299418294.58674,22299418294.58674,22299418294.58674,22299418294.58674,22299418294.58674,22299418294.58674,19836347591.169113,22299418294.58674,22299418294.58674,71.6735399838,30906577509.015542,31112461132.124179,31112482951.994772,20996200212.39419,31112087644.061711,31112480692.90873,9593579418.213374,31105825900.747676,31112483490.568979,31112483490.087644,31112483486.713036,31112483245.733571,31112482136.521641,31112475116.620127,31080631828.205361,31110876750.387714,31112373898.162948,26135756367.950473,,,,,,,,,10341674357.309547,20930190041.973674,11822901559.787314,31112483490.58674,25145683238.642006,1193,0.01380787037,2075,6195994015.150815,,9030554.91667272,,1800401.657684,,4.51844565663,,,,
